code,image_file,object_type_raw,object_type,material_raw,material_group,integrity_raw,integrity,part_zone_raw,part_zone,label_is_missing_part_zone,label_is_missing_material,label_is_uncertain_object_type,label_is_uncertain_part_zone
М102-2012-1-0494,М102-2012-1-0494_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-1-0496,М102-2012-1-0496_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-1-0529,М102-2012-1-0529_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-1-0585,М102-2012-1-0585_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0603,М102-2012-1-0603_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-1-0611,М102-2012-1-0611_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-1-0691,М102-2012-1-0691_orig.jpg,Миска,миска,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0752,М102-2012-1-0752_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,base,base,False,False,False,False
М102-2012-1-0827,М102-2012-1-0827_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0833,М102-2012-1-0833_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0837,М102-2012-1-0837_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0843,М102-2012-1-0843_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0847,М102-2012-1-0847_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0851,М102-2012-1-0851_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-1-0942,М102-2012-1-0942_orig.jpg,Миска,миска,Керамика,ceramic,Фрагмент,fragment,profile,profile,False,False,False,False
М102-2012-1-0949,М102-2012-1-0949_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-1-1008,М102-2012-1-1008_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
